"","tool","project","target_class","isAssertion","coverage_rate"
"243","BBC-F0-20","JacksonXml-6","com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator",0,0
"244","BBC-F0-20","Jsoup-84","org.jsoup.helper.W3CDom",0,10
"245","BBC-F0-20","Jsoup-86","org.jsoup.nodes.Comment",0,0
"246","BBC-F0-20","Jsoup-89","org.jsoup.nodes.Attribute",0,30
"247","BBC-F0-20","Jsoup-90","org.jsoup.helper.HttpConnection",0,0
"248","BBC-F0-20","JxPath-13","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"249","BBC-F0-20","JxPath-13","org.apache.commons.jxpath.ri.NamespaceResolver",0,0
"250","BBC-F0-20","JxPath-16","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"251","BBC-F0-20","JxPath-16","org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer",0,0
"252","BBC-F0-20","JxPath-22","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"253","BBC-F0-20","Lang-1","org.apache.commons.lang3.math.NumberUtils",0,0
"254","BBC-F0-20","Lang-5","org.apache.commons.lang3.LocaleUtils",0,0
"255","BBC-F0-20","Lang-6","org.apache.commons.lang3.text.translate.CharSequenceTranslator",0,0
"256","BBC-F0-20","Math-1","org.apache.commons.math3.fraction.BigFraction",0,28
"257","BBC-F0-20","Math-1","org.apache.commons.math3.fraction.Fraction",0,30
"258","BBC-F0-20","Math-3","org.apache.commons.math3.util.MathArrays",0,8
"259","BBC-F0-20","Math-4","org.apache.commons.math3.geometry.euclidean.threed.SubLine",0,19
"260","BBC-F0-20","Math-4","org.apache.commons.math3.geometry.euclidean.twod.SubLine",0,26
"261","BBC-F0-20","Math-8","org.apache.commons.math3.distribution.DiscreteDistribution",0,14
"262","BBC-F0-20","Mockito-1","org.mockito.internal.invocation.InvocationMatcher",0,0
"263","BBC-F0-20","Mockito-18","org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues",0,30
"264","BBC-F0-20","Mockito-20","org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker",0,0
"265","BBC-F0-20","Mockito-3","org.mockito.internal.invocation.InvocationMatcher",0,0
"266","BBC-F0-20","Mockito-4","org.mockito.exceptions.Reporter",0,0
"267","BBC-F0-20","Mockito-6","org.mockito.Matchers",0,0
"268","BBC-F0-20","Mockito-7","org.mockito.internal.util.reflection.GenericMetadataSupport",0,0
"269","BBC-F0-20","Time-10","org.joda.time.base.BaseSingleFieldPeriod",0,1
"270","BBC-F0-20","Time-2","org.joda.time.field.UnsupportedDurationField",0,0
"271","BBC-F0-20","Time-2","org.joda.time.Partial",0,0
"272","BBC-F0-20","Time-3","org.joda.time.MutableDateTime",0,0
"273","BBC-F0-20","Time-5","org.joda.time.Period",0,30
"274","BBC-F0-20","Time-6","org.joda.time.chrono.GJChronology",0,20
"275","BBC-F0-20","Time-7","org.joda.time.format.DateTimeFormatter",0,3
"276","BBC-F0-20","Time-8","org.joda.time.DateTimeZone",0,0
"277","BBC-F0-30","Chart-10","org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator",0,0
"278","BBC-F0-30","Chart-2","org.jfree.data.general.DatasetUtilities",0,30
"279","BBC-F0-30","Chart-4","org.jfree.chart.plot.XYPlot",0,14
"280","BBC-F0-30","Chart-5","org.jfree.data.xy.XYSeries",0,0
"281","BBC-F0-30","Chart-9","org.jfree.data.time.TimeSeries",0,0
"282","BBC-F0-30","Cli-31","org.apache.commons.cli.HelpFormatter",0,0
"283","BBC-F0-30","Cli-31","org.apache.commons.cli.Option",0,0
"284","BBC-F0-30","Cli-31","org.apache.commons.cli.OptionBuilder",0,0
"285","BBC-F0-30","Cli-32","org.apache.commons.cli.HelpFormatter",0,27
"286","BBC-F0-30","Cli-33","org.apache.commons.cli.HelpFormatter",0,0
"287","BBC-F0-30","Cli-35","org.apache.commons.cli.Options",0,0
"288","BBC-F0-30","Closure-108","com.google.javascript.jscomp.ScopedAliases",0,0
"289","BBC-F0-30","Codec-10","org.apache.commons.codec.language.Caverphone",0,0
"290","BBC-F0-30","Codec-11","org.apache.commons.codec.net.QuotedPrintableCodec",0,30
"291","BBC-F0-30","Codec-13","org.apache.commons.codec.binary.StringUtils",0,0
"292","BBC-F0-30","Codec-13","org.apache.commons.codec.language.DoubleMetaphone",0,26
"293","BBC-F0-30","Codec-16","org.apache.commons.codec.binary.Base32",0,0
"294","BBC-F0-30","Codec-17","org.apache.commons.codec.binary.StringUtils",0,30
"295","BBC-F0-30","Codec-18","org.apache.commons.codec.binary.StringUtils",0,0
"296","BBC-F0-30","Codec-9","org.apache.commons.codec.binary.Base64",0,0
"297","BBC-F0-30","Collections-25","org.apache.commons.collections4.IteratorUtils",0,0
"298","BBC-F0-30","Collections-28","org.apache.commons.collections4.trie.AbstractPatriciaTrie",0,0
"299","BBC-F0-30","Compress-38","org.apache.commons.compress.archivers.tar.TarArchiveEntry",0,0
"300","BBC-F0-30","Compress-45","org.apache.commons.compress.archivers.tar.TarUtils",0,0
"301","BBC-F0-30","Csv-11","org.apache.commons.csv.CSVParser",0,30
"302","BBC-F0-30","Csv-12","org.apache.commons.csv.CSVFormat",0,0
"303","BBC-F0-30","Csv-8","org.apache.commons.csv.CSVFormat",0,0
"304","BBC-F0-30","Csv-9","org.apache.commons.csv.CSVRecord",0,26
"305","BBC-F0-30","Gson-10","com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",0,0
"306","BBC-F0-30","Gson-11","com.google.gson.internal.bind.TypeAdapters",0,0
"307","BBC-F0-30","Gson-12","com.google.gson.internal.bind.JsonTreeReader",0,30
"308","BBC-F0-30","Gson-13","com.google.gson.stream.JsonReader",0,0
